Festival.name;Festival.month;Festival.isFamous;Festival.website;Festival.city_id;Festival.department_id;Festival.region_id
SONS D'HIVER;01;;www.sonsdhiver.org;VITRY;Val-de-Marne;Ile-de-France
SURESNES CITÉS DANSE;01;;www.theatre-suresnes.fr;SURESNES;Hauts-de-Seine;Ile-de-France
VOIX DE LA MÉDITERRANÉE;07;;www.voixdelamediterranee.com;LODEVE;Hérault;Languedoc-Roussillon
VOCHORA;07;;vochora.fr;TOURNON;Ardèche;Rhône-Alpes
VILLE EN MUSIQUES;07;;www.maisonduboulanger.com;TROYES;Aube;Champagne-Ardenne
VACHEMENT ROCK FESTIVAL;07;;www.myspace.com/vachementrock;ANGLARDS DE SALERS;Cantal;Auvergne
TERRES BLANCHES;07;;www.festival-terres-blanches.fr;GUERANDE;Loire-Atlantique;Pays de la Loire
TERRE DE COULEURS;07;;terredecouleurs.asso.fr;STE CROIX VOLVESTRE;Ariège;Midi-Pyrénées
SUMMER REGGAE FEST;07;;www.summerreggaefest.com;ST MALO;Ille-et-Vilaine;Bretagne
SONOR'ÉTÉ;07;;www.lameridienne-luneville.fr;LUNEVILLE;Meurthe-et-Moselle;Lorraine
